zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
339908489,3111 43rd Ave NE,Bismarck,ND,58503,46.852467,-100.73952,Coulee Ridge Twin Homes,forRent,2998,3461,2
339908489,3111 43rd Ave NE,Bismarck,ND,58503,46.852467,-100.73952,Coulee Ridge Twin Homes,forRent,3140,3461,3
339908489,3111 43rd Ave NE,Bismarck,ND,58503,46.852467,-100.73952,Coulee Ridge Twin Homes,forRent,3461,3461,4
2060269163,5515 N Hws Cleveland Blvd,Omaha,NE,68135,41.3084,-96.18058,Westline at Flanagan Lake,forRent,1293,2295,0
2060269163,5515 N Hws Cleveland Blvd,Omaha,NE,68135,41.3084,-96.18058,Westline at Flanagan Lake,forRent,1293,2295,1
2060269163,5515 N Hws Cleveland Blvd,Omaha,NE,68135,41.3084,-96.18058,Westline at Flanagan Lake,forRent,1720,2295,2
2060269163,5515 N Hws Cleveland Blvd,Omaha,NE,68135,41.3084,-96.18058,Westline at Flanagan Lake,forRent,2295,2295,3
2080132821,7605 Washington Village Dr,Dayton,OH,45459,39.63518,-84.19207,Washington Park,forRent,1215,1975,1
2080132821,7605 Washington Village Dr,Dayton,OH,45459,39.63518,-84.19207,Washington Park,forRent,1345,1975,2
2080132821,7605 Washington Village Dr,Dayton,OH,45459,39.63518,-84.19207,Washington Park,forRent,1950,1975,3
458625643,13050 Woodridge Cir,Plymouth,MI,48170,42.377056,-83.45261,Ravines,forRent,2399,2755,2
458625643,13050 Woodridge Cir,Plymouth,MI,48170,42.377056,-83.45261,Ravines,forRent,2730,2755,3
458625765,2150 Village Green Pkwy,Chesterfield,MO,63017,38.62662,-90.520256,ReNew Chesterfield,forRent,1276,1649,1
458625765,2150 Village Green Pkwy,Chesterfield,MO,63017,38.62662,-90.520256,ReNew Chesterfield,forRent,1614,1649,2
352299134,16251 Sandstone Plz,Omaha,NE,68116,41.320175,-96.172775,Sandstone Villas,forRent,1769,2567,2
352299134,16251 Sandstone Plz,Omaha,NE,68116,41.320175,-96.172775,Sandstone Villas,forRent,2281,2567,3
457571940,2601 Elkhart Dr,Waukesha,WI,53189,42.977688,-88.272484,Village at Fox River,forRent,1325,2400,0
457571940,2601 Elkhart Dr,Waukesha,WI,53189,42.977688,-88.272484,Village at Fox River,forRent,1625,2400,1
457571940,2601 Elkhart Dr,Waukesha,WI,53189,42.977688,-88.272484,Village at Fox River,forRent,1975,2400,2
448154677,N26W24150 River Park Dr,Pewaukee,WI,53072,43.067722,-88.228065,Canterbury Crossing,forRent,2235,2995,2
448154677,N26W24150 River Park Dr,Pewaukee,WI,53072,43.067722,-88.228065,Canterbury Crossing,forRent,2995,2995,3
2080500395,615 Figzel Ct,Tea,SD,57064,43.448742,-96.8274,Edgewood Apartments,forRent,1000,1405,1
2080500395,615 Figzel Ct,Tea,SD,57064,43.448742,-96.8274,Edgewood Apartments,forRent,1150,1405,2
2080500395,615 Figzel Ct,Tea,SD,57064,43.448742,-96.8274,Edgewood Apartments,forRent,1405,1405,3
398544813,1630 Saddle Way,Greenwood,IN,46143,39.592278,-86.11293,Barton Farms Apartments and Duplexes,forRent,1104,1487,1
